Company,Type,Inches,CPU,Generation,RAM,Memory,GPU,OS,Weight,Price
Hp,Ultrabook,14,Core i5,4,8GB,500GB HDD,Nvidia,Windows 8,2kg,2300000
Hp,Ultrabook,14,Core i7,1,4GB,500GB HDD,Intel,Windows 10,2kg,1200000
Hp,2 in 1,14,Core i7,8,8GB,500GB SSD,Nvidia,Windows 10,2kg,3800000
Hp,Gaming,15,Core i7,7,16GB,256GB SSD,Intel + Nvidia GTX,Windows 10,4kg,6000000
Acer,Workstation,15,Core i7,3,8GB,256GB SSD,Intel + Nvidia,Windows 10,3kg,2800000
Acer,Ultrabook,14,Core i7,7,8GB,128GB SSD,Intel,Windows 10,2kg,3300000
Hp,Ultrabook,13,Core i7,1,4GB,128GB SSD,Intel + AMD,Windows 10,2kg,1800000
Acer,Workstation,15,Core i7,3,8GB,320GB HDD,Intel + Nvidia,Windows 7,2kg,2300000
Lenovo,2 in 1,14,Core i7,5,4GB,500GB HDD,Intel + Nvidia,Windows 10,2kg,3300000
Asus,Ultrabook,14,Core i7,3,4GB,128GB SSD,Intel,Windows 10,2kg,3150000
Thinkpad,Workstation,12,Core i5,6,4GB,128GB SSD,Intel,Windows 10,2kg,2600000
Acer,Ultrabook,15,Core i5,6,8GB,1000GB HDD,Nvidia,Windows 10,2kg,3500000
Lenovo,Workstation,12,Core i5,6,8GB,256GB SSD,Intel,Windows 11,2kg,2700000
Lenovo,2 in 1,14,Core i5,7,8GB,256GB SSD,Intel,Windows 10,2kg,4300000
Lenovo,Ultrabook,14,Core i5,8,8GB,256GB SSD,Intel,Windows 10,2kg,2900000
Samsung,Notebook,14,Core i5,1,4GB,120GB SSD,AMD,Windows 10,2kg,1500000
Acer,Notebook,14,Core i5,1,4GB,500GB HDD,Intel,Windows 10,2kg,1600000
Hp,Ultrabook,14,Core i5,8,8GB,256GB SSD,Intel,Windows 10,2kg,4000000
Acer,Ultrabook,15,Core i5,7,8GB,128GB SSD + 1000GB HDD,Intel + Nvidia,Windows 10,2kg,3600000
Acer,Notebook,14,Core i5,2,8GB,500GB HDD,Intel + Nvidia,Windows 7,2kg,1800000
Dell,Ultrabook,13,Core i5,6,8GB,500GB HDD,Intel,Windows 10,2kg,2400000
Dell,Workstation,13,Core i5,4,8GB,128GB SSD,Intel,Windows 10,2kg,2300000
Hp,Workstation,14,Core i7,1,4GB,500GB HDD,Intel,Windows 10,2kg,1200000
Dell,Workstation,13,Core i7,4,8GB,256GB SSD,Intel,Windows 11,2kg,2800000
Dell,Ultrabook,14,Core i5,1,4GB,500GB HDD,Intel,Windows 10,2kg,1500000
Hp,2 in 1,14,Core i5,6,8GB,256GB SSD,Intel,Windows 11,2kg,3500000
Lenovo,Workstation,14,Core i5,6,8GB,256GB SSD,Intel,Windows 10,2kg,2500000
Hp,Ultrabook,14,Core i5,5,8GB,128GB SSD,Intel,Windows 11,2kg,2300000
Lenovo,Workstation,14,Core i5,8,8GB,256GB SSD,Intel,Windows 11,2kg,3900000
Acer,Ultrabook,14,Core i5,10,8GB,512GB SSD,Intel + Nvidia,Windows 10,2kg,4700000
Dell,Ultrabook,14,Core i5,8,8GB,256GB SSD,Intel,Windows 11,2kg,4300000
Asus,Ultrabook,14,Core i3,3,4GB,500GB HDD,Intel,Windows 10,2kg,1600000
Acer,Ultrabook,14,Core i5,2,8GB,128GB SSD,Intel,Windows 10,2kg,1800000
Asus,Ultrabook,14,Core i5,4,8GB,128GB SSD,Intel,Windows 10,2kg,2400000
Sony Vaio,Notebook,14,Core i3,1,4GB,500GB HDD,Nvidia,Windows 10,2kg,1300000
ROG,Gaming,17,Core i5,7,12GB,512GB SSD,Nvidia GTX,Windows 10,3kg,9500000
Asus,Ultrabook,14,Core i7,4,8GB,256GB SSD,Intel + Nvidia,Windows 10,2kg,3700000
Asus,Gaming,15,Core i7,6,8GB,1000GB HDD,Intel + Nvidia GTX,Windows 10,3kg,5800000
Predator ,Gaming,17,Core i7,6,16GB,128GB SSD + 1000GB HDD,Intel + Nvidia GTX,Windows 10,4kg,7700000
ROG,Gaming,15,Core i7,10,16GB,1000GB SSD,Nvidia GTX,Windows 11,3kg,11500000
Lenovo,Gaming,15,Core i5,12,8GB,512GB SSD,Nvidia RTX,Windows 11,3kg,13500000
Asus,Gaming,15,Core i7,11,16GB,512GB SSD,Nvidia RTX,Windows 10,3kg,10000000
MSI,Gaming,15,Core i7,11,16GB,512GB SSD,Nvidia RTX,Windows 11,3kg,13700000
Acer,Gaming,15,Core i7,8,16GB,128GB SSD + 1000GB HDD,Intel + Nvidia GTX,Windows 11,3kg,8500000
Dell,Gaming,15,Core i5,7,16GB,128GB SSD + 320GB HDD,Nvidia GTX,Windows 10,3kg,4800000
Acer,Gaming,15,Ryzen 5,4,16GB,512GB SSD,Nvidia GTX,Windows 10,3kg,8500000
Dell,Ultrabook,13,Core i7,8,8GB,256GB SSD,Intel,Windows 10,2kg,4600000
Acer,Ultrabook,14,Core i5,8,8GB,128GB SSD + 1000GB HDD,Nvidia,Windows 10,2kg,3900000
Acer,Ultrabook,14,Core i7,4,8GB,256GB SSD,Intel + Nvidia,Windows 10,2kg,3000000
Asus,Ultrabook,14,Core i7,4,16GB,1000GB HDD,Intel + Nvidia,Windows 10,2kg,3200000
Acer,Ultrabook,14,Core i5,2,8GB,500GB HDD,Intel + Nvidia,Windows 7,2kg,1650000
Acer,Ultrabook,14,Core i5,7,8GB,128GB SSD + 1000GB HDD,Intel + Nvidia,Windows 10,2kg,3550000
Hp,Ultrabook,14,Core i7,8,8GB,128GB SSD + 1000GB HDD,Intel + Nvidia,Windows 10,2kg,4500000
Acer,Gaming,15,Core i7,6,16GB,128GB SSD + 1000GB HDD,Intel + Nvidia GTX,Windows 10,3kg,4500000
MSI,Gaming,15,Core i7,4,8GB,256GB SSD,Nvidia GTX,Windows 10,4kg,3500000
Lenovo,Ultrabook,14,Core i5,5,8GB,500GB SSD,Intel + Nvidia,Windows 10,3kg,2900000
Hp,Ultrabook,14,Core i5,3,8GB,256GB SSD,Intel + Nvidia,Windows 10,2kg,2500000
Dell,Ultrabook,14,Core i5,6,4GB,500GB HDD,Intel + AMD,Windows 10,2kg,2700000
ROG,Gaming,17,Core i7,7,8GB,256GB SSD,Intel + Nvidia GTX,Windows 11,4kg,6600000
Acer,Ultrabook,14,Core i7,6,8GB,256GB SSD,Intel + Nvidia,Windows 10,2kg,3600000
Lenovo,Ultrabook,14,Core i5,8,8GB,256GB SSD + 1000GB HDD,Intel + Nvidia,Windows 10,2kg,3700000
Acer,Ultrabook,14,Core i7,8,8GB,512GB SSD,Intel + Nvidia,Windows 10,2kg,6500000
Asus,Ultrabook,15,Core i7,7,16GB,256GB SSD,Intel + Nvidia,Windows 10,3kg,4500000
Asus,Ultrabook,14,Core i7,7,8GB,256GB SSD,Intel,Windows 10,2kg,4200000
Alienware,Gaming,15,Core i7,6,8GB,256GB SSD + 1000GB HDD,Intel + Nvidia GTX,Windows 10,4kg,8500000
Asus,Gaming,15,Core i7,6,8GB,512GB SSD,Intel + Nvidia,Windows 10,3kg,4500000
Dell,Ultrabook,15,Core i7,3,8GB,256GB SSD,Intel + Nvidia,Windows 10,3kg,3500000
Hp,Gaming,15,Core i7,7,16GB,256GB SSD,Intel + Nvidia GTX,Windows 10,3kg,6500000
Asus,Ultrabook,15,Core i7,4,8GB,250GB SSD,Intel + Nvidia,Windows 10,3kg,2800000
Hp,Workstation,14,Core i7,3,16GB,250GB SSD,Nvidia,Windows 10,2kg,3000000
Acer,Ultrabook,14,Core i5,6,8GB,256GB SSD,Intel,Windows 10,2kg,3400000
Acer,Workstation,14,Core i7,2,8GB,750GB,Intel + Nvidia,Windows 10,2kg,2000000
Asus,Notebook,14,Core i5,1,8GB,128GB SSD,Intel + Nvidia,Windows 10,2kg,1650000
Asus,Ultrabook,15,Core i7,2,8GB,128GB SSD,Intel + Nvidia,Windows 7,2kg,1800000
Hp,Ultrabook,14,Core i5,5,8GB,500GB HDD,Intel + Nvidia,Windows 10,2kg,2000000
Acer,Gaming,15,Ryzen 7,4,8GB,512GB SSD,Nvidia GTX,Windows 10,3kg,9500000
MSI,Gaming,15,Core i7,8,32GB,512GB SSD + 1000GB HDD,Intel + Nvidia GTX,Windows 10,3kg,8500000
Acer,Ultrabook,14,Core i7,4,8GB,256GB SSD,Intel + Nvidia,Windows 10,2kg,3050000
Acer,Workstation,14,Core i7,2,8GB,640GB HDD,Intel + Nvidia,Windows 10,2kg,1900000
Hp,Ultrabook,14,Ryzen 5 Pro,2,16GB,256GB SSD,AMD,Windows 10,2kg,4500000
Hp,Gaming,15,Core i7,8,16GB,256GB SSD + 1000GB HDD,Intel + Nvidia GTX,Windows 10,3kg,8000000
Dell,Ultrabook,13,Core i7,5,8GB,256GB SSD,Intel,Windows 11,2kg,3000000
Dell,2 in 1,15,Core i7,4,8GB,500GB SSD,Intel + Nvidia,Windows 10,3kg,4300000
Acer,Gaming,15,Core i7,8,16GB,128GB SSD + 1000GB HDD,Intel + Nvidia GTX,Windows 10,3kg,8000000
